"dmo","coordinates","latitude","longitude"
"Cammino del perdono","42.36270927918666, 13.384045997099545",42.3627092791867,13.3840459970995
"Cavallino Treporti","45.453740388063906, 12.453802310735561",45.4537403880639,12.4538023107356
"Città d'arte e ville venete del territorio trevigiano","45.664349875028456, 12.245817426142006",45.6643498750285,12.245817426142
"Comune Arzachena","41.07928927140648, 9.388218186231336",41.0792892714065,9.38821818623134
"Comune Castiglione della Pescaia","42.76939585512188, 10.885612339446478",42.7693958551219,10.8856123394465
"Comune Castiglione della Pescaia","42.76939585512188, 10.885612339446478",42.7693958551219,10.8856123394465
"Comune Catanzaro","38.904971130792994, 16.595316098778063",38.904971130793,16.5953160987781
"Comune di Assisi","43.070823679150244, 12.615038926039635",43.0708236791502,12.6150389260396
"Comune di Bari","41.12577039760466, 16.86774212588019",41.1257703976047,16.8677421258802
"Comune di Cagliari - Ufficio Turismo","39.21531463519198, 9.1102936821267",39.215314635192,9.1102936821267
"Comune di Genova","44.411878829079036, 8.933118417298504",44.411878829079,8.9331184172985
"Comune di Grado","45.67520837910399, 13.386525026088938",45.675208379104,13.3865250260889
"Comune di Modena","44.64590804641943, 10.926228854875873",44.6459080464194,10.9262288548759
"Comune di Montecatini Terme","43.884149577315675, 10.772753768333247",43.8841495773157,10.7727537683332
"Comune di Orbetello","42.437408179186534, 11.209761654850801",42.4374081791865,11.2097616548508
"Comune di Sirmione","45.46324227850185, 10.609103197243092",45.4632422785019,10.6091031972431
"Comune L'Aquila","42.35072920646718, 13.400071598418792",42.3507292064672,13.4000715984188
"Comune Napoli","40.84030656257663, 14.250475597031953",40.8403065625766,14.250475597032
"Comune Perugia","43.11162758163601, 12.38861949269188",43.111627581636,12.3886194926919
"Comune Potenza","40.6393754135464, 15.80520649367874",40.6393754135464,15.8052064936787
"Comune San Vincenzo","43.10058444658365, 10.53836772604082",43.1005844465837,10.5383677260408
"Comune Sorrento","40.62696546496384, 14.374940768186978",40.6269654649638,14.374940768187
"Comune Trieste","45.64940444467243, 13.76850745260358",45.6494044446724,13.7685074526036
"Comune Vieste","41.8826821792218, 16.179652425913652",41.8826821792218,16.1796524259137
"Consorzio DMO Dolomiti","46.137499682118616, 12.217851668439712",46.1374996821186,12.2178516684397
"CONVENTION BUREAU DELLA RIVIERA DI RIMINI (divisione di Italian Exhibition Group)","44.05054, 12.56636",44.05054,12.56636
"Convention Bureau Genova","44.408463051862576, 8.921776688975452",44.4084630518626,8.92177668897545
"Convention Bureau Pisa","43.68594481814655, 10.429521552229254",43.6859448181466,10.4295215522293
"Convention Bureau Roma & Lazio","41.89840246050789, 12.499712795383982",41.8984024605079,12.499712795384
"Cooperativa Turistica Alta Badia","46.549647316457445, 11.87409899810273",46.5496473164574,11.8740989981027
"Destination Florence CVB","43.770615423163775, 11.243581775211752",43.7706154231638,11.2435817752118
"Destinazione Sila","39.24608476338309, 16.529034541472715",39.2460847633831,16.5290345414727
"Destinazione Turistica Emilia","44.79503366098846, 10.331183942051329",44.7950336609885,10.3311839420513
"Destinazione Turistica Romagna","44.07185804620219, 12.577253339506258",44.0718580462022,12.5772533395063
"Distretto Turistico della Sicilia Occidentale","38.017589979715936, 12.526122183419284",38.0175899797159,12.5261221834193
"DMC Marsica","42.036584416203425, 13.420925339494254",42.0365844162034,13.4209253394943
"DMO Caorle","45.597975465416795, 12.88761922608523",45.5979754654168,12.8876192260852
"DMO Distretto Turistico Valle dei Templi","37.30465118813196, 13.59605762586912",37.304651188132,13.5960576258691
"DMO Francigena sud nel Lazio","41.72674335033728, 12.66133716889845",41.7267433503373,12.6613371688985
"DMO Lago di Garda","45.43197410812603, 10.98799559729728",45.431974108126,10.9879955972973
"DMO Terre di Otium - Associazione Tivoli e la Valle dell'Aniene","41.96348821593591, 12.798766596338977",41.9634882159359,12.798766596339
"DMO Terre di Pisa","43.71093776140631, 10.399658143132235",43.7109377614063,10.3996581431322
"Dolomites Val Gardena","46.55820669801103, 11.720875720680517",46.558206698011,11.7208757206805
"Ente turismo Langhe Monferrato Roero","44.70098160502145, 8.036034797207055",44.7009816050214,8.03603479720705
"Fiemme Valle Viva","46.290062606539756, 11.464722297282758",46.2900626065398,11.4647222972828
"Garda Trentino","45.88494679363624, 10.844988120152225",45.8849467936362,10.8449881201522
"IDM Südtirol - Alto Adige","46.4978475935917, 11.353347027111525",46.4978475935917,11.3533470271115
"in Liguria - Agenzia Regionale per la Promozione turistica","44.40484500000011, 8.9357238294465",44.4048450000001,8.9357238294465
"Island of Sicily D.M.O. S.R.L.","38.47035032144923, 14.954622986988811",38.4703503214492,14.9546229869888
"Jesolo Eraclea","45.50230317910575, 12.632877539629364",45.5023031791058,12.6328775396294
"La Riviera d'Ulisse - Ente Turistico di Terzo Settore","41.453722779263046, 12.870955497143207",41.453722779263,12.8709554971432
"Lake Como Convention Bureau","45.83939870293031, 9.07447760000085",45.8393987029303,9.07447760000085
"Latium Experience","41.46763581869974, 12.903192954814445",41.4676358186997,12.9031929548144
"Lignano Sabbiadoro Gestioni S.p.A.","45.691470844453946, 13.1439385960783",45.6914708444539,13.1439385960783
"Madonie e Targa Florio","37.789134004051796, 14.038553744867759",37.7891340040518,14.0385537448678
"Madonna di Campiglio Azienda per il Turismo S.p.A.","46.23310658712886, 10.826253239207524",46.2331065871289,10.8262532392075
"Marca Treviso Convention Bureau","45.663921700000515, 12.245787458887635",45.6639217000005,12.2457874588876
"MEET Alto Adige","46.49526965095487, 11.354677414938456",46.4952696509549,11.3546774149385
"Milano & Partners","45.46554820364616, 9.183961768463236",45.4655482036462,9.18396176846324
"Montagna Veneta","45.87260306925872, 11.506838227998024",45.8726030692587,11.506838227998
"Napoli Convention Bureau","40.84149632887556, 14.250939212445044",40.8414963288756,14.250939212445
"OGD Chioggia: storia, mare e laguna","45.21850680052402, 12.27730741641212",45.218506800524,12.2773074164121
"OGD Venezia","45.435576912511046, 12.33298912464345",45.435576912511,12.3329891246435
"Padova","45.40709501442902, 11.876735226131608",45.407095014429,11.8767352261316
"Padova Convention","45.409496118436245, 11.875760029673126",45.4094961184362,11.8757600296731
"Palermo Welcome","38.11705856155115, 13.369491396916366",38.1170585615511,13.3694913969164
"Pedemontana veneta e colli","45.705320879108804, 11.479321154979008",45.7053208791088,11.479321154979
"Pisa Is","43.715475369938765, 10.40129806839389",43.7154753699388,10.4012980683939
"Po e suo Delta","45.02047595987483, 12.228137747561266",45.0204759598748,12.2281377475613
"Pro Loco Panza Isola di Ischia","40.71746777463734, 13.865466754786828",40.7174677746373,13.8654667547868
"PromoTurismoFVG","45.82209903730501, 13.36832108347803",45.822099037305,13.368321083478
"PugliaPromozione","41.13646002881845, 16.838155425367177",41.1364600288184,16.8381554253672
"Regione Abruzzo","42.36607953328389, 13.373920968263905",42.3660795332839,13.3739209682639
"Regione Autonoma della Sardegna - Direzione generale del turismo, artigianato e commercio","39.220560414981605, 9.103561196962344",39.2205604149816,9.10356119696234
"Regione Calabria","38.85552383444799, 16.57485196811133",38.855523834448,16.5748519681113
"Regione Lazio","41.8595763505534, 12.494237608220336",41.8595763505534,12.4942376082203
"Regione Molise","41.55930345118881, 14.654637297063617",41.5593034511888,14.6546372970636
"Regione Siciliana - Dipartimento del turismo, dello sport e dello spettacolo","38.133293240653174, 13.347579225859992",38.1332932406532,13.34757922586
"Regione Umbria","43.10962097914845, 12.387983697205767",43.1096209791485,12.3879836972058
"Regione Veneto - Direzione Turismo","45.44240912384582, 12.323647698245507",45.4424091238458,12.3236476982455
"Rimini Welcome","44.063834418165385, 12.574118829448537",44.0638344181654,12.5741188294485
"Riviera dei Borghi Acquaviva Scarl","42.60723487227335, 14.067740327869446",42.6072348722734,14.0677403278694
"Riviera del Brenta & Terra dei Tiepolo","45.4259643896427, 12.074274997297024",45.4259643896427,12.074274997297
"Riviere di Liguria - azienda speciale della CCIAA","44.30895290172585, 8.484244126024372",44.3089529017259,8.48424412602437
"Roma Capitale, Direzione Turismo","41.904978779219995, 12.489904497078953",41.90497877922,12.489904497079
"Rovigo Convention & Visitors Bureau","45.05309872053284, 11.78611693587438",45.0530987205328,11.7861169358744
"Skirama Kronplatz / Plan de Corones","46.785064662743316, 11.921821748917573",46.7850646627433,11.9218217489176
"Sorrento Convention Bureau","40.6249387402583, 14.377396113478047",40.6249387402583,14.377396113478
"Terme e Colli Euganei","45.35447550040167, 11.772595254964846",45.3544755004017,11.7725952549648
"Terre di Siena Convention Bureau","43.317950935843065, 11.332031519064106",43.3179509358431,11.3320315190641
"Terre Pescaresi","42.306847582747814, 14.06166052778254",42.3068475827478,14.0616605277825
"Terre vicentine","45.542353264824975, 11.509534626137132",45.542353264825,11.5095346261371
"Toscana Promozione Turistica","43.79038295190224, 11.257233981195562",43.7903829519022,11.2572339811956
"Tre Cime Dolomiti","46.73114758077672, 12.329630200000295",46.7311475807767,12.3296302000003
"Trentino Marketing","46.07373949115495, 11.121791204881385",46.073739491155,11.1217912048814
"Trentino MICE Convention Bureau","45.88403332607806, 10.845713643121373",45.8840333260781,10.8457136431214
"Trento, Monte Bondone s.cons.a r.l.","46.07038018431259, 11.121142426127022",46.0703801843126,11.121142426127
"Turismo Riviera dei Fiori","43.88836698753472, 8.038709613180345",43.8883669875347,8.03870961318034
"Turismo Torino e Provincia s.c.r.l.","45.06723374452309, 7.6864480242644655",45.0672337445231,7.68644802426447
"Val d'Ega Turismo Soc. Coop.","46.43045677381271, 11.541667726173237",46.4304567738127,11.5416677261732
"Valdichiana Living Tours & Vacation Tuscany","43.09305781382427, 11.781047425968303",43.0930578138243,11.7810474259683
"Valle d'Aosta - Ufficio Regionale del Turismo","45.74231614266671, 7.323913464583649",45.7423161426667,7.32391346458365
"Varese Turismo","45.81721120474522, 8.82530524894321",45.8172112047452,8.82530524894321
"Verona","45.43214727533043, 10.987523528563468",45.4321472753304,10.9875235285635
"Vicenza Convention Bureau","45.54236070530616, 11.509530337377164",45.5423607053062,11.5095303373772
"Visit Brescia","45.53433714037563, 10.218891496612851",45.5343371403756,10.2188914966129
"Visit Castelli Romani","41.711623400975334, 12.690560711392502",41.7116234009753,12.6905607113925
"Visit Limone sul Garda","45.813595666175765, 10.79182318065154",45.8135956661758,10.7918231806515
"Visit Piemonte","45.07149945350246, 7.6781553167125995",45.0714994535025,7.6781553167126
"Visit Rovereto","45.89122862198794, 11.040915914861689",45.8912286219879,11.0409159148617
"West of Sicily","38.01759539430212, 12.52609030671987",38.0175953943021,12.5260903067199
